Ano,Mês,Dia,Média de batteryVoltage
2021,janeiro,1,"6457,13"
2021,janeiro,2,"7008,06"
2021,janeiro,3,"7847,04"
2021,janeiro,4,"7806,51"
2021,janeiro,5,"7562,50"
2021,janeiro,6,"7079,24"
2021,janeiro,7,"7106,54"
2021,janeiro,8,"7085,97"
2021,janeiro,9,"6953,52"
2021,janeiro,10,"6913,65"
2021,janeiro,11,"7014,80"
2021,janeiro,12,"7064,66"
2021,janeiro,13,"7087,73"
2021,janeiro,14,"7082,91"
2021,janeiro,15,"7355,46"
2021,janeiro,16,"7031,36"
2021,janeiro,17,"6185,29"
2021,janeiro,18,"6766,66"
2021,janeiro,19,"7086,80"
2021,janeiro,20,"7094,59"
2021,janeiro,21,"7103,24"
2021,janeiro,22,"7042,22"
2021,janeiro,23,"7030,23"
2021,janeiro,24,"6653,63"
2021,janeiro,25,"7101,00"
2021,janeiro,26,"7075,98"
2021,janeiro,27,"7036,92"
2021,janeiro,28,"6975,61"
2021,janeiro,29,"7090,04"
2021,janeiro,30,"7080,51"
2021,janeiro,31,"6893,20"
2021,fevereiro,1,"7055,53"
2021,fevereiro,2,"7057,79"
2021,fevereiro,3,"7106,63"
2021,fevereiro,4,"7079,88"
2021,fevereiro,5,"7043,45"
2021,fevereiro,6,"7005,34"
2021,fevereiro,7,"6397,01"
2021,fevereiro,8,"7141,07"
2021,fevereiro,9,"7056,84"
2021,fevereiro,10,"6970,14"
2021,fevereiro,11,"7066,92"
2021,fevereiro,12,"7051,10"
2021,fevereiro,13,"6952,24"
2021,fevereiro,14,"6591,10"
2021,fevereiro,15,"7038,63"
2021,fevereiro,16,"6957,92"
2021,fevereiro,17,"7036,06"
2021,fevereiro,18,"6929,38"
2021,fevereiro,19,"7075,95"
2021,fevereiro,20,"7071,05"
2021,fevereiro,21,"6488,95"
2021,fevereiro,22,"7235,57"
2021,fevereiro,23,"7102,43"
2021,fevereiro,24,"7079,47"
2021,fevereiro,25,"7079,54"
2021,fevereiro,26,"7059,73"
2021,fevereiro,27,"7075,58"
2021,fevereiro,28,"6636,71"
2021,março,1,"7075,08"
2021,março,2,"7012,72"
2021,março,3,"7083,17"
2021,março,4,"7059,86"
2021,março,5,"7509,14"
2021,março,6,"7045,90"
2021,março,7,"6778,61"
2021,março,8,"7072,04"
2021,março,9,"7071,95"
2021,março,10,"7086,50"
2021,março,11,"7079,89"
2021,março,12,"7031,12"
2021,março,13,"6943,16"
2021,março,14,"6804,52"
2021,março,15,"6998,64"
2021,março,16,"7023,64"
2021,março,17,"7009,30"
2021,março,18,"7024,74"
2021,março,19,"7022,84"
2021,março,20,"6978,12"
2021,março,21,"6519,34"
2021,março,22,"7023,30"
2021,março,23,"7027,79"
2021,março,24,"7049,30"
2021,março,25,"7049,25"
2021,março,26,"7066,29"
2021,março,27,"7012,48"
2021,março,28,"6347,56"
2021,março,29,"7066,51"
2021,março,30,"7025,74"
2021,março,31,"7052,90"
2021,abril,1,"7060,87"
2021,abril,2,"6537,35"
2021,abril,3,"7017,29"
2021,abril,4,"6458,21"
2021,abril,5,"6973,15"
2021,abril,6,"7035,08"
2021,abril,7,"7316,00"
2021,abril,8,"7035,94"
2021,abril,9,"7026,22"
2021,abril,10,"7012,19"
2021,abril,11,"6613,74"
2021,abril,12,"7003,65"
2021,abril,13,"7052,52"
2021,abril,14,"7055,50"
2021,abril,15,"7022,10"
2021,abril,16,"7042,70"
2021,abril,17,"7005,22"
2021,abril,18,"6759,80"
2021,abril,19,"6982,28"
2021,abril,20,"7025,66"
2021,abril,21,"6621,77"
2021,abril,22,"7015,34"
2021,abril,23,"7026,49"
2021,abril,24,"6948,18"
2021,abril,25,"6333,34"
2021,abril,26,"7006,30"
2021,abril,27,"7012,51"
2021,abril,28,"6977,16"
2021,abril,29,"6992,55"
2021,abril,30,"7058,23"
2021,maio,1,"6698,36"
2021,maio,2,"6727,09"
2021,maio,3,"7020,52"
2021,maio,4,"7025,53"
2021,maio,5,"7041,89"
2021,maio,6,"6981,60"
2021,maio,7,"6894,36"
2021,maio,8,"6989,99"
2021,maio,9,"6791,86"
2021,maio,10,"7008,23"
2021,maio,11,"7024,80"
2021,maio,12,"7035,44"
2021,maio,17,"6993,99"
2021,maio,18,"7035,15"
2021,maio,19,"7036,41"
2021,maio,20,"7057,64"
2021,maio,21,"7058,26"
2021,maio,22,"6753,45"
2021,maio,23,"6236,06"
2021,maio,24,"7057,31"
2021,maio,25,"7072,95"
2021,maio,26,"7079,65"
2021,maio,27,"7050,78"
2021,maio,28,"6959,42"
2021,maio,29,"6787,37"
2021,maio,30,"6253,71"
2021,maio,31,"7055,45"
2021,junho,1,"7050,21"
2021,junho,2,"6794,36"
2021,junho,3,"6031,61"
2021,junho,4,"6760,57"
2021,junho,5,"6407,53"
2021,junho,6,"6400,00"
2021,junho,7,"6755,86"
