Ano,Mês,Dia,Contagem de id_busca
2021,janeiro,21,1
2021,janeiro,22,1
2021,janeiro,26,3
2021,janeiro,27,3
2021,janeiro,28,9
2021,janeiro,29,3
2021,fevereiro,1,573
2021,fevereiro,2,569
2021,fevereiro,3,757
2021,fevereiro,4,514
2021,fevereiro,5,654
2021,fevereiro,6,1
2021,fevereiro,8,1816
2021,fevereiro,9,1083
2021,fevereiro,10,2406
2021,fevereiro,11,2146
2021,fevereiro,12,2615
2021,fevereiro,18,1273
2021,fevereiro,19,1711
2021,fevereiro,22,1870
2021,fevereiro,23,2014
2021,fevereiro,24,1096
2021,fevereiro,25,1744
2021,fevereiro,26,1686
2021,março,1,2008
2021,março,2,1541
2021,março,3,3366
2021,março,4,2247
2021,março,5,3089
2021,março,8,1178
2021,março,9,1975
2021,março,10,1445
2021,março,11,1104
2021,março,12,2328
2021,março,15,248
2021,março,16,213
2021,março,21,2
2021,abril,3,2
2021,abril,6,3
2021,abril,8,3
2021,abril,12,629
2021,abril,13,720
2021,abril,14,328
2021,abril,15,517
2021,abril,16,667
2021,abril,19,554
2021,abril,20,868
2021,abril,22,1544
2021,abril,23,1539
2021,abril,26,1419
2021,abril,27,2603
2021,abril,28,2417
2021,abril,29,2999
2021,abril,30,2186
2021,maio,3,3099
2021,maio,4,2654
2021,maio,5,1225
2021,maio,6,1675
2021,maio,7,2801
2021,maio,8,39
2021,maio,10,2221
2021,maio,11,2069
2021,maio,12,2905
2021,maio,13,1942
2021,maio,14,1947
2021,maio,15,33
2021,maio,17,998
2021,maio,18,1310
2021,maio,19,983
2021,maio,20,1883
2021,maio,21,2130
2021,maio,22,17
2021,maio,24,2828
2021,maio,25,2041
2021,maio,26,448
2021,maio,27,548
2021,maio,28,2431
2021,maio,31,1605
2021,junho,1,1325
2021,junho,2,594
2021,junho,7,1068
2021,junho,8,1319
2021,junho,9,2263
2021,junho,10,1997
