Ano,Mês,Dia,tempo_med_espera5
2021,janeiro,21,"17,97"
2021,janeiro,22,"45,58"
2021,janeiro,26,"4,59"
2021,janeiro,27,"1,37"
2021,janeiro,28,"31,78"
2021,janeiro,29,"25,07"
2021,fevereiro,1,"17,96"
2021,fevereiro,2,"13,24"
2021,fevereiro,3,"10,05"
2021,fevereiro,4,"16,28"
2021,fevereiro,5,"9,58"
2021,fevereiro,6,"24,82"
2021,fevereiro,8,"25,68"
2021,fevereiro,9,"18,52"
2021,fevereiro,10,"33,85"
2021,fevereiro,11,"24,03"
2021,fevereiro,12,"26,82"
2021,fevereiro,18,"24,74"
2021,fevereiro,19,"23,94"
2021,fevereiro,22,"21,58"
2021,fevereiro,23,"24,82"
2021,fevereiro,24,"13,41"
2021,fevereiro,25,"21,98"
2021,fevereiro,26,"27,32"
2021,março,1,"25,47"
2021,março,2,"23,01"
2021,março,3,"23,16"
2021,março,4,"21,17"
2021,março,5,"25,25"
2021,março,8,"24,53"
2021,março,9,"31,11"
2021,março,10,"27,54"
2021,março,11,"29,52"
2021,março,12,"28,50"
2021,março,15,"16,51"
2021,março,16,"15,10"
2021,março,21,"1,40"
2021,abril,3,"52,05"
2021,abril,6,"44,30"
2021,abril,8,"25,38"
2021,abril,12,"19,79"
2021,abril,13,"17,56"
2021,abril,14,"17,85"
2021,abril,15,"25,03"
2021,abril,16,"24,04"
2021,abril,19,"29,71"
2021,abril,20,"32,15"
2021,abril,22,"30,97"
2021,abril,23,"11,59"
2021,abril,26,"28,57"
2021,abril,27,"36,49"
2021,abril,28,"32,26"
2021,abril,29,"30,38"
2021,abril,30,"23,55"
2021,maio,3,"30,28"
2021,maio,4,"32,86"
2021,maio,5,"24,28"
2021,maio,6,"25,50"
2021,maio,7,"32,12"
2021,maio,8,"25,02"
2021,maio,10,"22,42"
2021,maio,11,"29,18"
2021,maio,12,"34,07"
2021,maio,13,"29,23"
2021,maio,14,"22,91"
2021,maio,15,"35,05"
2021,maio,17,"26,59"
2021,maio,18,"32,32"
2021,maio,19,"22,36"
2021,maio,20,"28,36"
2021,maio,21,"30,34"
2021,maio,22,"49,85"
2021,maio,24,"19,49"
2021,maio,25,"20,52"
2021,maio,26,"13,87"
2021,maio,27,"24,25"
2021,maio,28,"37,29"
2021,maio,31,"33,54"
2021,junho,1,"34,85"
2021,junho,2,"36,49"
2021,junho,7,"28,61"
2021,junho,8,"28,22"
2021,junho,9,"34,91"
2021,junho,10,"39,19"
